,data,t_media,dayname,somma_polli,feste,fenomeni,Chievo,Hellas,Inter,Italia,Juventus,Lazio,Milan,Napoli
102,2015-04-29,15,mercoledì,15,0,sole,1,0,0,0,1,1,1,0
103,2015-04-30,15,giovedì,18,0,pioggia ,0,0,0,0,0,0,0,1
104,2015-05-01,13,venerdì,29,Festa dei Lavoratori,pioggia ,0,0,0,0,0,1,0,0
105,2015-05-02,17,sabato,22,0,pioggia nebbia ,0,0,0,0,0,0,0,0
106,2015-05-03,18,domenica,29,0,pioggia ,0,0,0,0,0,0,0,0
107,2015-05-05,20,martedì,23,0,nebbia ,0,0,0,0,0,0,0,0
108,2015-05-06,20,mercoledì,25,0,sole,0,0,0,0,0,0,0,0
109,2015-05-07,21,giovedì,24,0,sole,0,0,0,0,0,0,0,0
110,2015-05-08,21,venerdì,27,0,pioggia temporale ,0,0,0,0,0,0,0,0
111,2015-05-09,20,sabato,38,0,sole,0,0,0,0,0,0,0,0
112,2015-05-10,22,domenica,29,Festa della Mamma,sole,0,0,0,0,0,0,0,0
113,2015-05-12,22,martedì,16,0,sole,0,0,1,0,0,0,0,0
114,2015-05-13,21,mercoledì,16,0,sole,0,0,0,0,0,0,0,0
115,2015-05-14,22,giovedì,10,0,sole,0,0,0,0,0,0,0,0
116,2015-05-15,19,venerdì,17,0,pioggia temporale ,0,0,0,0,0,0,0,0
117,2015-05-16,20,sabato,27,0,pioggia temporale ,0,0,1,0,1,1,0,0
118,2015-05-17,23,domenica,23,0,sole,1,0,0,0,0,0,1,0
119,2015-05-19,23,martedì,16,0,pioggia temporale ,0,0,0,0,0,0,0,0
120,2015-05-20,19,mercoledì,24,0,pioggia ,0,0,0,0,0,0,0,0
121,2015-05-21,14,giovedì,24,0,pioggia temporale ,0,0,0,0,0,0,0,0
122,2015-05-22,14,venerdì,17,0,pioggia ,0,0,0,0,0,0,0,0
123,2015-05-23,14,sabato,33,0,pioggia ,0,0,1,0,1,0,0,1
124,2015-05-24,17,domenica,29,Pentecoste,pioggia ,1,0,0,0,0,0,1,0
125,2015-05-26,18,martedì,22,0,pioggia temporale ,0,0,0,0,0,0,0,0
126,2015-05-27,18,mercoledì,22,0,pioggia ,0,0,0,0,0,0,0,0
127,2015-05-28,19,giovedì,23,0,sole,0,0,0,0,0,0,0,0
