date,team1,team2,score,championship
2014-08-02,Carpi,Spezia,1-1,B
2014-08-02,Bari,Siena,2-1,B
2014-08-02,Crotone,Pescara,3-0,B
2014-08-03,Catania,Cagliari,1-1,A
2014-08-03,Udinese,Milan,1-0,A
2014-08-03,Trapani,Siena,0-2,B
2014-08-03,Brescia,Latina,0-2,B
2014-08-03,Carpi,Reggina,0-3,B
2014-08-03,Bari,Lanciano,1-0,B
2014-08-03,Pescara,Cesena,2-0,B
2014-08-03,Crotone,Cittadella,2-0,B
2014-08-03,Ternana,Varese,2-0,B
2014-08-03,Padova,Modena,2-2,B
2014-08-03,Novara,Spezia,2-0,B
2014-08-11,Sassuolo,Atalanta,0-0,A
2014-08-11,Sampdoria,Milan,2-2,A
2014-08-11,Bologna,Carpi,0-0,B
2014-08-11,Lanciano,Livorno,1-0,B
2014-08-11,Cittadella,Latina,1-1,B
2014-08-11,Brescia,Pescara,1-3,B
2014-08-11,Modena,Avellino,1-2,B
2014-08-11,Perugia,Entella,2-1,B
2014-08-11,Catania,Varese,2-1,B
2014-08-11,Vicenza,Pro Vercelli,2-1,B
2014-08-11,Frosinone,Trapani,4-1,B
2014-08-12,Cagliari,Chievo,0-2,A
2014-08-12,Verona,Sampdoria,1-3,A
2014-08-12,Modena,Livorno,0-0,B
2014-08-12,Vicenza,Brescia,2-0,B
2014-08-29,Perugia,Bologna,2-1,B
2014-08-30,Chievo,Juventus,0-1,A
2014-08-30,Roma,Fiorentina,2-0,A
2014-08-30,Entella,Bari,0-2,B
2014-08-30,Pescara,Trapani,0-0,B
2014-08-30,Crotone,Ternana,0-2,B
2014-08-30,Frosinone,Brescia,1-0,B
2014-08-30,Livorno,Carpi,1-1,B
2014-08-30,Avellino,Pro Vercelli,1-0,B
2014-08-30,Varese,Spezia,2-1,B
2014-08-30,Catania,Lanciano,3-3,B
2014-08-31,Atalanta,Verona,0-0,A
2014-08-31,Torino,Inter,0-0,A
2014-08-31,Sassuolo,Cagliari,1-1,A
2014-08-31,Genoa,Napoli,1-2,A
2014-08-31,Palermo,Sampdoria,1-1,A
2014-08-31,Cesena,Parma,1-0,A
2014-08-31,Udinese,Empoli,2-0,A
2014-08-31,Milan,Lazio,3-1,A
2014-09-02,Livorno,Genoa,0-1,A
2014-09-02,Parma,Catania,0-0,A
2014-09-02,Lazio,Roma,0-0,A
2014-09-02,Torino,Bologna,1-2,A
2014-09-02,Sampdoria,Cagliari,1-0,A
2014-09-02,Inter,Sassuolo,1-0,A
2014-09-02,Verona,Juventus,2-2,A
2014-09-03,Lazio,Atalanta,0-1,A
2014-09-03,Bologna,Sassuolo,0-0,A
2014-09-03,Napoli,Roma,1-0,A
2014-09-03,Juventus,Fiorentina,1-0,A
2014-09-03,Inter,Torino,1-0,A
2014-09-03,Chievo,Genoa,2-1,A
2014-09-03,Parma,Verona,2-0,A
2014-09-03,Sampdoria,Livorno,4-2,A
2014-09-05,Padova,Cesena,0-1,B
2014-09-05,Empoli,Crotone,3-1,B
2014-09-11,Fiorentina,Napoli,0-1,A
2014-09-11,Palermo,Udinese,1-1,A
2014-09-11,Cagliari,Genoa,1-1,A
2014-09-11,Inter,Verona,2-2,A
2014-09-11,Chievo,Cesena,2-1,A
2014-09-11,Empoli,Lazio,2-1,A
2014-09-11,Roma,Torino,3-0,A
2014-09-11,Juventus,Parma,7-0,A
2014-09-13,Empoli,Roma,0-1,A
2014-09-13,Juventus,Udinese,2-0,A
2014-09-13,Entella,Brescia,0-1,B
2014-09-13,Avellino,Spezia,0-0,B
2014-09-13,Varese,Lanciano,1-1,B
2014-09-13,Perugia,Catania,1-0,B
2014-09-13,Crotone,Carpi,1-1,B
2014-09-13,Frosinone,Bari,1-1,B
2014-09-13,Modena,Pro Vercelli,1-0,B
2014-09-13,Trapani,Cittadella,2-1,B
2014-09-14,Napoli,Chievo,0-1,A
2014-09-14,Fiorentina,Genoa,0-0,A
2014-09-14,Cagliari,Atalanta,1-2,A
2014-09-14,Sampdoria,Torino,2-0,A
2014-09-14,Lazio,Cesena,3-0,A
2014-09-14,Parma,Milan,4-5,A
2014-09-14,Inter,Sassuolo,7-0,A
2014-09-14,Vicenza,Ternana,0-1,B
2014-09-15,Verona,Palermo,2-1,A
2014-09-15,Livorno,Latina,1-1,B
2014-09-19,Spezia,Entella,1-0,B
2014-09-19,Carpi,Trapani,2-2,B
2014-09-20,Milan,Juventus,0-1,A
2014-09-20,Cesena,Empoli,2-2,A
2014-09-20,Bologna,Crotone,0-2,B
2014-09-20,Brescia,Ternana,0-0,B
2014-09-20,Catania,Modena,0-0,B
2014-09-20,Lanciano,Frosinone,1-5,B
2014-09-20,Latina,Avellino,1-2,B
2014-09-20,Perugia,Vicenza,2-2,B
2014-09-20,Bari,Livorno,2-0,B
2014-09-20,Cittadella,Pescara,3-2,B
2014-09-20,Pro Vercelli,Varese,4-0,B
2014-09-21,Sassuolo,Sampdoria,0-0,A
2014-09-21,Atalanta,Fiorentina,0-1,A
2014-09-21,Torino,Verona,0-1,A
2014-09-21,Palermo,Inter,1-1,A
2014-09-21,Genoa,Lazio,1-0,A
2014-09-21,Udinese,Napoli,1-0,A
2014-09-21,Chievo,Parma,2-3,A
2014-09-21,Roma,Cagliari,2-0,A
2014-09-22,Spezia,Carpi,1-2,B
2014-09-23,Empoli,Milan,2-2,A
2014-09-23,Ternana,Bologna,0-1,B
2014-09-23,Frosinone,Avellino,0-0,B
2014-09-23,Modena,Perugia,0-0,B
2014-09-23,Vicenza,Bari,1-0,B
2014-09-23,Pescara,Latina,1-1,B
2014-09-23,Brescia,Lanciano,1-1,B
2014-09-23,Cittadella,Pro Vercelli,1-2,B
2014-09-23,Crotone,Catania,1-1,B
2014-09-23,Livorno,Varese,1-0,B
2014-09-23,Trapani,Entella,2-2,B
2014-09-24,Fiorentina,Sassuolo,0-0,A
2014-09-24,Cagliari,Torino,1-2,A
2014-09-24,Parma,Roma,1-2,A
2014-09-24,Verona,Genoa,2-2,A
2014-09-24,Inter,Atalanta,2-0,A
2014-09-24,Sampdoria,Chievo,2-1,A
2014-09-24,Napoli,Palermo,3-3,A
2014-09-24,Juventus,Cesena,3-0,A
2014-09-25,Lazio,Udinese,0-1,A
2014-09-27,Atalanta,Juventus,0-3,A
2014-09-27,Roma,Verona,2-0,A
2014-09-27,Crotone,Vicenza,0-0,B
2014-09-27,Bologna,Cittadella,1-0,B
2014-09-27,Latina,Ternana,1-1,B
2014-09-27,Perugia,Brescia,1-0,B
2014-09-27,Pro Vercelli,Frosinone,1-1,B
2014-09-27,Entella,Carpi,2-0,B
2014-09-27,Avellino,Livorno,2-1,B
2014-09-27,Modena,Spezia,2-0,B
2014-09-27,Varese,Trapani,5-2,B
2014-09-28,Sassuolo,Napoli,0-1,A
2014-09-28,Genoa,Sampdoria,0-1,A
2014-09-28,Cesena,Milan,1-1,A
2014-09-28,Chievo,Empoli,1-1,A
2014-09-28,Inter,Cagliari,1-4,A
2014-09-28,Torino,Fiorentina,1-1,A
2014-09-28,Catania,Pescara,2-1,B
2014-09-29,Palermo,Lazio,0-4,A
2014-09-29,Udinese,Parma,4-2,A
2014-09-29,Lanciano,Bari,1-1,B
2014-10-02,Novara,Brescia,1-2,B
2014-10-03,Juve Stabia,Palermo,0-3,B
2014-10-05,Verona,Udinese,2-2,A
2014-10-05,Inter,Lazio,4-1,A
2014-10-05,Varese,Carpi,0-2,B
2014-10-05,Pescara,Siena,1-0,B
2014-10-05,Trapani,Cittadella,1-2,B
2014-10-05,Palermo,Lanciano,1-1,B
2014-10-05,Reggina,Brescia,1-1,B
2014-10-05,Latina,Ternana,2-0,B
2014-10-05,Avellino,Spezia,2-0,B
2014-10-05,Bari,Juve Stabia,3-0,B
2014-10-05,Modena,Novara,3-1,B
2014-10-09,Vicenza,Latina,0-0,B
2014-10-11,Bari,Ternana,0-1,B
2014-10-13,Varese,Cittadella,2-2,B
2014-10-17,Vicenza,Pescara,2-1,B
2014-10-18,Sassuolo,Juventus,1-1,A
2014-10-18,Roma,Chievo,3-0,A
2014-10-18,Ternana,Livorno,0-4,B
2014-10-18,Lanciano,Perugia,1-1,B
2014-10-18,Brescia,Pro Vercelli,2-1,B
2014-10-18,Carpi,Latina,2-1,B
2014-10-18,Frosinone,Modena,2-0,B
2014-10-18,Trapani,Crotone,3-1,B
2014-10-18,Bologna,Varese,3-0,B
2014-10-18,Spezia,Catania,3-0,B
2014-10-19,Fiorentina,Lazio,0-2,A
2014-10-19,Atalanta,Parma,1-0,A
2014-10-19,Torino,Udinese,1-0,A
2014-10-19,Verona,Milan,1-3,A
2014-10-19,Inter,Napoli,2-2,A
2014-10-19,Cagliari,Sampdoria,2-2,A
2014-10-19,Palermo,Cesena,2-1,A
2014-10-19,Bari,Avellino,4-2,B
2014-10-20,Genoa,Empoli,1-1,A
2014-10-20,Cittadella,Entella,0-1,B
2014-10-24,Modena,Bologna,0-0,B
2014-10-24,Ternana,Trapani,1-2,B
2014-10-25,Empoli,Cagliari,0-4,A
2014-10-25,Sampdoria,Roma,0-0,A
2014-10-25,Parma,Sassuolo,1-3,A
2014-10-25,Livorno,Spezia,0-1,B
2014-10-25,Pescara,Carpi,0-5,B
2014-10-25,Pro Vercelli,Perugia,0-0,B
2014-10-25,Avellino,Lanciano,1-1,B
2014-10-25,Latina,Brescia,1-1,B
2014-10-25,Entella,Frosinone,1-0,B
2014-10-25,Varese,Bari,2-1,B
2014-10-25,Crotone,Cittadella,2-2,B
2014-10-25,Catania,Vicenza,3-1,B
2014-10-26,Cesena,Inter,0-1,A
2014-10-26,Chievo,Genoa,1-2,A
2014-10-26,Milan,Fiorentina,1-1,A
2014-10-26,Juventus,Palermo,2-0,A
2014-10-26,Udinese,Atalanta,2-0,A
2014-10-26,Lazio,Torino,2-1,A
2014-10-26,Napoli,Verona,6-2,A
2014-10-27,Bologna,Trapani,2-1,B
2014-10-28,Sassuolo,Empoli,3-1,A
2014-10-28,Perugia,Avellino,0-0,B
2014-10-28,Vicenza,Modena,0-2,B
2014-10-28,Bari,Pescara,1-1,B
2014-10-28,Spezia,Latina,1-1,B
2014-10-28,Cittadella,Livorno,1-1,B
2014-10-28,Frosinone,Varese,1-1,B
2014-10-28,Lanciano,Pro Vercelli,2-0,B
2014-10-28,Brescia,Crotone,2-1,B
2014-10-28,Carpi,Ternana,3-1,B
2014-10-28,Catania,Entella,5-1,B
2014-10-29,Cagliari,Milan,1-1,A
2014-10-29,Inter,Sampdoria,1-0,A
2014-10-29,Atalanta,Napoli,1-1,A
2014-10-29,Genoa,Juventus,1-0,A
2014-10-29,Palermo,Chievo,1-0,A
2014-10-29,Torino,Parma,1-0,A
2014-10-29,Roma,Cesena,2-0,A
2014-10-29,Fiorentina,Udinese,3-0,A
2014-10-30,Verona,Lazio,1-1,A
2014-11-01,Bologna,Lazio,0-0,A
2014-11-01,Livorno,Parma,0-3,A
2014-11-03,Carpi,Padova,1-1,B
2014-11-04,Cesena,Spezia,0-2,B
2014-11-05,Cagliari,Chievo,0-1,A
2014-11-05,Livorno,Fiorentina,0-1,A
2014-11-05,Roma,Juventus,0-1,A
2014-11-05,Bologna,Catania,1-2,A
2014-11-05,Torino,Parma,1-1,A
2014-11-05,Sampdoria,Napoli,2-5,A
2014-11-05,Atalanta,Milan,2-1,A
2014-11-05,Sassuolo,Genoa,4-2,A
2014-11-10,Pro Vercelli,Spezia,1-0,B
2014-11-10,Modena,Brescia,1-1,B
2014-11-15,Bologna,Brescia,1-2,B
2014-11-15,Carpi,Cittadella,5-2,B
2014-11-16,Avellino,Vicenza,0-1,B
2014-11-16,Ternana,Spezia,0-0,B
2014-11-16,Latina,Lanciano,1-0,B
2014-11-16,Varese,Perugia,1-1,B
2014-11-16,Trapani,Catania,2-2,B
2014-11-16,Crotone,Bari,3-0,B
2014-11-16,Livorno,Pro Vercelli,3-1,B
2014-11-16,Pescara,Frosinone,3-0,B
2014-11-21,Frosinone,Livorno,5-1,B
2014-11-22,Lazio,Juventus,0-3,A
2014-11-22,Atalanta,Roma,1-2,A
2014-11-22,Avellino,Varese,0-0,B
2014-11-22,Spezia,Bologna,1-1,B
2014-11-22,Lanciano,Crotone,1-1,B
2014-11-22,Vicenza,Cittadella,1-1,B
2014-11-22,Bari,Trapani,2-1,B
2014-11-22,Modena,Pescara,2-0,B
2014-11-22,Perugia,Ternana,2-2,B
2014-11-22,Pro Vercelli,Entella,2-0,B
2014-11-22,Brescia,Carpi,3-3,B
2014-11-23,Parma,Empoli,0-2,A
2014-11-23,Torino,Sassuolo,0-1,A
2014-11-23,Milan,Inter,1-1,A
2014-11-23,Udinese,Chievo,1-1,A
2014-11-23,Cesena,Sampdoria,1-1,A
2014-11-23,Verona,Fiorentina,1-2,A
2014-11-23,Napoli,Cagliari,3-3,A
2014-11-23,Catania,Latina,1-0,B
2014-11-24,Genoa,Palermo,1-1,A
2014-11-28,Pescara,Lanciano,1-1,B
2014-11-29,Chievo,Lazio,0-0,A
2014-11-29,Sassuolo,Verona,2-1,A
2014-11-29,Carpi,Frosinone,0-0,B
2014-11-29,Livorno,Perugia,0-0,B
2014-11-29,Entella,Avellino,0-0,B
2014-11-29,Cittadella,Brescia,1-1,B
2014-11-29,Latina,Pro Vercelli,1-1,B
2014-11-29,Crotone,Modena,1-4,B
2014-11-29,Ternana,Catania,1-0,B
2014-11-29,Varese,Vicenza,2-3,B
2014-11-29,Trapani,Spezia,3-2,B
2014-11-30,Cesena,Genoa,0-3,A
2014-11-30,Cagliari,Fiorentina,0-4,A
2014-11-30,Empoli,Atalanta,0-0,A
2014-11-30,Milan,Udinese,2-0,A
2014-11-30,Palermo,Parma,2-1,A
2014-11-30,Juventus,Torino,2-1,A
2014-11-30,Roma,Inter,4-2,A
2014-11-30,Bologna,Bari,2-0,B
2014-12-01,Verona,Napoli,0-3,A
2014-12-01,Torino,Fiorentina,0-0,A
2014-12-01,Cagliari,Juventus,1-4,A
2014-12-01,Atalanta,Catania,2-1,A
2014-12-01,Roma,Genoa,4-0,A
2014-12-01,Sassuolo,Milan,4-3,A
2014-12-04,Sassuolo,Cagliari,1-1,A
2014-12-04,Roma,Atalanta,3-1,A
2014-12-04,Trapani,Palermo,0-1,B
2014-12-04,Varese,Bari,0-1,B
2014-12-04,Avellino,Brescia,0-1,B
2014-12-04,Crotone,Carpi,0-0,B
2014-12-04,Pescara,Cittadella,1-1,B
2014-12-04,Siena,Lanciano,1-0,B
2014-12-04,Empoli,Ternana,1-0,B
2014-12-04,Latina,Novara,4-1,B
2014-12-04,Modena,Juve Stabia,4-2,B
2014-12-09,Pescara,Bologna,2-3,B
2014-12-10,Perugia,Frosinone,0-1,B
2014-12-10,Latina,Bologna,1-2,B
2014-12-10,Crotone,Pescara,1-4,B
2014-12-10,Avellino,Carpi,1-0,B
2014-12-10,Catania,Bari,2-3,B
2014-12-10,Lanciano,Vicenza,4-0,B
2014-12-10,Livorno,Trapani,6-0,B
2014-12-12,Trapani,Perugia,2-2,B
2014-12-13,Palermo,Sassuolo,2-1,A
2014-12-13,Lazio,Atalanta,3-0,A
2014-12-13,Brescia,Spezia,0-1,B
2014-12-13,Ternana,Lanciano,0-1,B
2014-12-13,Pescara,Avellino,0-0,B
2014-12-13,Crotone,Pro Vercelli,0-1,B
2014-12-13,Cittadella,Bari,0-1,B
2014-12-13,Carpi,Modena,1-0,B
2014-12-13,Entella,Vicenza,2-1,B
2014-12-13,Bologna,Frosinone,2-2,B
2014-12-13,Livorno,Catania,4-2,B
2014-12-14,Genoa,Roma,0-1,A
2014-12-14,Parma,Cagliari,0-0,A
2014-12-14,Cesena,Fiorentina,1-4,A
2014-12-14,Udinese,Verona,1-2,A
2014-12-14,Juventus,Sampdoria,1-1,A
2014-12-14,Milan,Napoli,2-0,A
2014-12-15,Chievo,Inter,0-2,A
2014-12-15,Empoli,Torino,0-0,A
2014-12-15,Latina,Varese,1-0,B
2014-12-16,Entella,Modena,1-1,B
2014-12-18,Cagliari,Juventus,1-3,A
2014-12-18,Napoli,Parma,2-0,A
2014-12-19,Avellino,Bologna,1-0,B
2014-12-19,Lanciano,Carpi,1-1,B
2014-12-20,Roma,Milan,0-0,A
2014-12-20,Sassuolo,Cesena,1-1,A
2014-12-20,Entella,Livorno,1-1,B
2014-12-20,Varese,Crotone,1-0,B
2014-12-20,Frosinone,Cittadella,1-1,B
2014-12-20,Bari,Latina,1-0,B
2014-12-20,Vicenza,Spezia,1-0,B
2014-12-20,Catania,Brescia,2-2,B
2014-12-20,Pro Vercelli,Ternana,2-1,B
2014-12-20,Perugia,Pescara,2-2,B
2014-12-20,Modena,Trapani,2-1,B
2014-12-21,Verona,Chievo,0-1,A
2014-12-21,Fiorentina,Empoli,1-1,A
2014-12-21,Sampdoria,Udinese,2-2,A
2014-12-21,Inter,Lazio,2-2,A
2014-12-21,Torino,Genoa,2-1,A
2014-12-21,Atalanta,Palermo,3-3,A
2014-12-24,Vicenza,Livorno,0-0,B
2014-12-24,Ternana,Modena,1-0,B
2014-12-24,Latina,Entella,1-1,B
2014-12-24,Brescia,Bari,2-1,B
2014-12-24,Pescara,Varese,2-0,B
2014-12-24,Crotone,Frosinone,2-0,B
2014-12-24,Bologna,Pro Vercelli,3-0,B
2014-12-24,Spezia,Lanciano,3-3,B
2014-12-24,Cittadella,Catania,3-2,B
2014-12-24,Trapani,Avellino,4-1,B
2014-12-24,Carpi,Perugia,4-0,B
2014-12-28,Modena,Latina,0-0,B
2014-12-28,Catania,Carpi,0-2,B
2014-12-28,Bari,Spezia,0-3,B
2014-12-28,Pro Vercelli,Trapani,1-0,B
2014-12-28,Livorno,Pescara,1-2,B
2014-12-28,Entella,Crotone,1-1,B
2014-12-28,Lanciano,Bologna,1-2,B
2014-12-28,Frosinone,Vicenza,1-0,B
2014-12-28,Avellino,Brescia,2-0,B
2014-12-28,Varese,Ternana,2-0,B
2014-12-28,Perugia,Cittadella,3-1,B
2015-01-02,Udinese,Juventus,0-0,A
2015-01-02,Chievo,Napoli,1-2,A
2015-01-02,Atalanta,Cagliari,2-1,A
2015-01-02,Cesena,Lazio,2-1,A
2015-01-02,Palermo,Verona,2-1,A
2015-01-02,Milan,Parma,3-1,A
2015-01-02,Sassuolo,Inter,3-1,A
2015-01-02,Torino,Sampdoria,5-1,A
2015-01-03,Sassuolo,Lazio,0-3,A
2015-01-03,Inter,Fiorentina,0-1,A
2015-01-03,Palermo,Empoli,0-0,A
2015-01-03,Torino,Napoli,1-0,A
2015-01-03,Atalanta,Sampdoria,1-2,A
2015-01-03,Cagliari,Verona,1-2,A
2015-01-03,Cesena,Udinese,1-0,A
2015-01-04,Carpi,Bologna,3-0,B
2015-01-11,Carpi,Verona,0-0,A
2015-01-11,Genoa,Napoli,0-0,A
2015-01-11,Udinese,Sassuolo,0-0,A
2015-01-11,Lazio,Milan,1-3,A
2015-01-11,Bologna,Atalanta,3-0,A
2015-01-11,Fiorentina,Frosinone,4-1,A
2015-01-11,Spezia,Entella,0-0,B
2015-01-17,Empoli,Inter,0-0,A
2015-01-17,Palermo,Roma,1-1,A
2015-01-17,Latina,Vicenza,0-0,B
2015-01-17,Bari,Entella,0-0,B
2015-01-17,Cittadella,Modena,1-1,B
2015-01-17,Pro Vercelli,Avellino,1-1,B
2015-01-17,Spezia,Varese,1-1,B
2015-01-17,Trapani,Pescara,2-4,B
2015-01-17,Ternana,Crotone,2-1,B
2015-01-17,Lanciano,Catania,3-0,B
2015-01-17,Brescia,Frosinone,3-1,B
2015-01-18,Lazio,Napoli,0-1,A
2015-01-18,Milan,Atalanta,0-1,A
2015-01-18,Parma,Sampdoria,0-2,A
2015-01-18,Chievo,Fiorentina,1-2,A
2015-01-18,Cesena,Torino,2-3,A
2015-01-18,Udinese,Cagliari,2-2,A
2015-01-18,Genoa,Sassuolo,3-3,A
2015-01-18,Juventus,Verona,4-0,A
2015-01-18,Carpi,Livorno,1-2,B
2015-01-19,Bologna,Perugia,2-1,B
2015-01-23,Catania,Pro Vercelli,4-0,B
2015-01-24,Cagliari,Sassuolo,2-1,A
2015-01-24,Lazio,Milan,3-1,A
2015-01-24,Varese,Carpi,0-1,B
2015-01-24,Entella,Bologna,1-2,B
2015-01-24,Pescara,Ternana,1-2,B
2015-01-24,Frosinone,Spezia,1-1,B
2015-01-24,Avellino,Cittadella,1-2,B
2015-01-24,Perugia,Bari,1-1,B
2015-01-24,Crotone,Latina,2-1,B
2015-01-24,Vicenza,Trapani,3-0,B
2015-01-24,Livorno,Brescia,4-2,B
2015-01-25,Inter,Torino,0-1,A
2015-01-25,Fiorentina,Roma,1-1,A
2015-01-25,Parma,Cesena,1-2,A
2015-01-25,Sampdoria,Palermo,1-1,A
2015-01-25,Verona,Atalanta,1-0,A
2015-01-25,Juventus,Chievo,2-0,A
2015-01-25,Modena,Lanciano,1-1,B
2015-01-26,Empoli,Udinese,1-2,A
2015-01-26,Napoli,Genoa,2-1,A
2015-01-30,Bari,Frosinone,4-0,B
2015-01-31,Roma,Empoli,1-1,A
2015-01-31,Genoa,Fiorentina,1-1,A
2015-01-31,Ternana,Vicenza,0-2,B
2015-01-31,Bologna,Pescara,0-0,B
2015-01-31,Cittadella,Trapani,1-0,B
2015-01-31,Lanciano,Varese,1-2,B
2015-01-31,Pro Vercelli,Modena,1-1,B
2015-01-31,Catania,Perugia,2-0,B
2015-01-31,Carpi,Crotone,2-1,B
2015-01-31,Brescia,Entella,3-0,B
2015-01-31,Latina,Livorno,3-2,B
2015-02-02,Spezia,Avellino,0-1,B
2015-02-03,Roma,Juventus,1-1,A
2015-02-04,Varese,Catania,0-3,B
2015-02-04,Entella,Perugia,0-2,B
2015-02-04,Pro Vercelli,Vicenza,1-1,B
2015-02-04,Avellino,Modena,1-0,B
2015-02-04,Livorno,Lanciano,1-0,B
2015-02-04,Pescara,Brescia,2-3,B
2015-02-04,Ternana,Bari,2-0,B
2015-02-04,Crotone,Spezia,2-0,B
2015-02-04,Latina,Cittadella,3-2,B
2015-02-04,Trapani,Frosinone,3-1,B
2015-02-05,Sassuolo,Palermo,0-0,A
2015-02-05,Sampdoria,Juventus,0-1,A
2015-02-05,Vicenza,Entella,0-0,B
2015-02-05,Bari,Cittadella,1-0,B
2015-02-05,Varese,Latina,1-2,B
2015-02-05,Perugia,Trapani,1-0,B
2015-02-05,Lanciano,Ternana,1-1,B
2015-02-05,Catania,Livorno,1-1,B
2015-02-05,Frosinone,Bologna,2-1,B
2015-02-05,Pro Vercelli,Crotone,3-2,B
2015-02-05,Spezia,Brescia,4-1,B
2015-02-10,Crotone,Salernitana,4-0,B
2015-02-11,Palermo,Empoli,0-1,A
2015-02-11,Chievo,Sampdoria,1-1,A
2015-02-11,Cagliari,Vicenza,2-0,B
2015-02-13,Perugia,Modena,2-0,B
2015-02-14,Sassuolo,Fiorentina,1-3,A
2015-02-14,Palermo,Napoli,3-1,A
2015-02-14,Pro Vercelli,Cittadella,0-1,B
2015-02-14,Bari,Vicenza,0-1,B
2015-02-14,Varese,Livorno,0-1,B
2015-02-14,Bologna,Ternana,0-0,B
2015-02-14,Carpi,Spezia,0-0,B
2015-02-14,Entella,Trapani,1-1,B
2015-02-14,Lanciano,Brescia,2-0,B
2015-02-14,Latina,Pescara,2-0,B
2015-02-14,Avellino,Frosinone,3-0,B
2015-02-15,Udinese,Lazio,0-1,A
2015-02-15,Roma,Parma,0-0,A
2015-02-15,Milan,Empoli,1-1,A
2015-02-15,Torino,Cagliari,1-1,A
2015-02-15,Atalanta,Inter,1-4,A
2015-02-15,Cesena,Juventus,2-2,A
2015-02-15,Chievo,Sampdoria,2-1,A
2015-02-15,Genoa,Verona,5-2,A
2015-02-16,Catania,Crotone,1-1,B
2015-02-20,Juventus,Atalanta,2-1,A
2015-02-21,Carpi,Entella,0-0,B
2015-02-21,Trapani,Varese,0-0,B
2015-02-21,Ternana,Latina,0-2,B
2015-02-21,Cittadella,Bologna,0-1,B
2015-02-21,Brescia,Perugia,1-2,B
2015-02-21,Vicenza,Crotone,1-0,B
2015-02-21,Bari,Lanciano,2-0,B
2015-02-21,Frosinone,Pro Vercelli,3-2,B
2015-02-21,Spezia,Modena,3-2,B
2015-02-22,Verona,Roma,1-1,A
2015-02-22,Fiorentina,Torino,1-1,A
2015-02-22,Milan,Cesena,2-0,A
2015-02-22,Lazio,Palermo,2-1,A
2015-02-22,Empoli,Chievo,3-0,A
2015-02-22,Livorno,Avellino,0-1,B
2015-02-22,Pescara,Catania,1-0,B
2015-02-23,Cagliari,Inter,1-2,A
2015-02-23,Napoli,Sassuolo,2-0,A
2015-02-24,Sampdoria,Genoa,1-1,A
2015-02-27,Bologna,Vicenza,0-2,B
2015-02-27,Latina,Trapani,1-0,B
2015-02-28,Chievo,Milan,0-0,A
2015-02-28,Pro Vercelli,Carpi,0-0,B
2015-02-28,Modena,Bari,0-1,B
2015-02-28,Crotone,Livorno,1-0,B
2015-02-28,Catania,Frosinone,1-2,B
2015-02-28,Avellino,Ternana,1-1,B
2015-02-28,Varese,Brescia,1-2,B
2015-02-28,Perugia,Spezia,2-1,B
2015-02-28,Entella,Pescara,2-5,B
2015-02-28,Lanciano,Cittadella,2-2,B
2015-03-03,Bologna,Latina,0-0,B
2015-03-03,Trapani,Livorno,0-0,B
2015-03-03,Brescia,Modena,0-1,B
2015-03-03,Ternana,Entella,0-1,B
2015-03-03,Bari,Catania,1-1,B
2015-03-03,Vicenza,Lanciano,2-2,B
2015-03-03,Carpi,Avellino,2-0,B
2015-03-03,Pescara,Crotone,2-1,B
2015-03-03,Frosinone,Perugia,2-1,B
2015-03-03,Cittadella,Varese,3-0,B
2015-03-03,Spezia,Pro Vercelli,5-2,B
2015-03-05,Inter,Chievo,0-0,A
2015-03-05,Verona,Udinese,0-1,A
2015-03-05,Atalanta,Lazio,1-1,A
2015-03-05,Roma,Genoa,2-0,A
2015-03-05,Fiorentina,Cesena,3-1,A
2015-03-05,Napoli,Milan,3-0,A
2015-03-05,Modena,Carpi,1-2,B
2015-03-05,Avellino,Pescara,3-2,B
2015-03-10,Chievo,Verona,1-1,A
2015-03-10,Carpi,Torino,2-1,A
2015-03-10,Como,Ascoli,0-4,B
2015-03-10,Lanciano,Spezia,0-0,B
2015-03-10,Avellino,Vicenza,1-4,B
2015-03-10,Cesena,Livorno,1-0,B
2015-03-10,Entella,Pro Vercelli,1-0,B
2015-03-10,Latina,Bari,1-2,B
2015-03-10,Pescara,Cagliari,1-0,B
2015-03-10,Brescia,Modena,2-2,B
2015-03-10,Ternana,Novara,2-0,B
2015-03-11,Novara,Pescara,1-0,B
2015-03-13,Spezia,Livorno,3-0,B
2015-03-14,Palermo,Juventus,0-1,A
2015-03-14,Cagliari,Empoli,1-1,A
2015-03-14,Cittadella,Crotone,0-0,B
2015-03-14,Lanciano,Avellino,1-0,B
2015-03-14,Brescia,Latina,1-2,B
2015-03-14,Carpi,Pescara,1-2,B
2015-03-14,Perugia,Pro Vercelli,3-2,B
2015-03-14,Bari,Varese,3-0,B
2015-03-14,Frosinone,Entella,3-3,B
2015-03-14,Trapani,Ternana,4-2,B
2015-03-15,Genoa,Chievo,0-2,A
2015-03-15,Atalanta,Udinese,0-0,A
2015-03-15,Inter,Cesena,1-1,A
2015-03-15,Verona,Napoli,2-0,A
2015-03-15,Sassuolo,Parma,4-1,A
2015-03-15,Bologna,Modena,0-0,B
2015-03-16,Roma,Sampdoria,0-2,A
2015-03-16,Torino,Lazio,0-2,A
2015-03-16,Fiorentina,Milan,2-1,A
2015-03-16,Vicenza,Catania,0-0,B
2015-03-20,Pescara,Bari,0-0,B
2015-03-21,Chievo,Palermo,1-0,A
2015-03-21,Milan,Cagliari,3-1,A
2015-03-21,Livorno,Cittadella,0-1,B
